Qpair,Answer,correct,incorrect,notsure
1,different,14,4,1
2,same,16,2,1
3,different,13,3,3
4,same,15,2,2
5,different,12,5,2
6,same ,8,10,1
7,same,19,0,0
8,same,19,0,0
9,different,14,5,0
10,different,10,2,7
11,different,10,2,7
12,same,19,0,0
