Date,Survey,Site,Treatment,Sex,TL,ID,Resscore,Resscore_extra,Proportionalrugosity,Absoluterugosity,Coralcover,HAS
2013-06-08,2,99,removal,NA,NA,61,2,,0.192,1.25,3.966666667,0.359
2013-06-08,2,99,removal,m,25,62,2,,0.192,1.25,3.966666667,0.359
2013-06-08,2,99,removal,m,28,63,2,,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,m,22,6,6,,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,m,33,8,7,,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,f,33,12,4,,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,f,30,13,3,+,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,f,30,25,7,+,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,m,25,64,2,,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,m,23,65,2,,0.192,1.25,3.966666667,0.359
2013-06-22,3,99,removal,m,25,66,2,,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,35,8,7,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,30,9,7,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,28,10,7,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,f,28,11,7,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,f,30,13,3,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,f,28,25,7,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,f,25,67,1,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,25,68,1,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,28,69,1,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,25,70,1,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,25,71,1,+,0.192,1.25,3.966666667,0.359
2013-07-06,4,99,removal,m,35,72,1,+,0.192,1.25,3.966666667,0.359
2013-05-18,1,102,nonremoval,NA,NA,NA,0,,0.347,1.57,51.25925926,0.45
2013-06-01,2,102,nonremoval,NA,NA,NA,0,,0.347,1.57,51.25925926,0.45
2013-06-16,3,102,nonremoval,NA,NA,NA,0,,0.347,1.57,51.25925926,0.45
2013-06-16,3,102,nonremoval,NA,NA,NA,0,,0.347,1.57,51.25925926,0.45
2013-06-29,4,102,nonremoval,NA,NA,NA,0,,0.347,1.57,51.25925926,0.45
2013-05-18,1,107,removal,NA,NA,NA,0,,0.347,1.6,51.25925926,0.471
2013-06-01,2,107,removal,f,25,14,5,+,0.328,1.6,5.895238095,0.471
2013-06-01,2,107,removal,f,25,73,2,,0.328,1.6,5.895238095,0.471
2013-06-01,2,107,removal,f,27,15,5,+,0.328,1.6,5.895238095,0.471
2013-06-01,2,107,removal,m,20,74,2,,0.328,1.6,5.895238095,0.471
2013-06-16,3,107,removal,f,38,15,5,+,0.328,1.6,5.895238095,0.471
2013-06-16,3,107,removal,m,25,16,3,+,0.328,1.6,5.895238095,0.471
2013-06-16,3,107,removal,f,28,75,2,,0.328,1.6,5.895238095,0.471
2013-06-16,3,107,removal,m,24,76,2,,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,f,30,14,5,+,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,f,NA,14,5,+,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,f,35,15,5,+,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,m,38,16,3,+,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,f,25,77,1,+,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,m,30,78,1,+,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,m,30,79,1,+,0.328,1.6,5.895238095,0.471
2013-06-29,4,107,removal,m,22,80,1,+,0.328,1.6,5.895238095,0.471
2013-05-18,1,108,nonremoval,m,NA,17,6,,0.466,2.16,11.9,0.467
2013-05-18,1,108,nonremoval,f,33,18,6,,0.466,2.16,11.9,0.467
2013-05-18,1,108,nonremoval,f,31,81,2,,0.466,2.16,11.9,0.467
2013-05-18,1,108,nonremoval,f,28,82,2,,0.466,2.16,11.9,0.467
2013-05-18,1,108,nonremoval,f,32,83,2,,0.466,2.16,11.9,0.467
2013-05-18,1,108,nonremoval,m,24,84,2,,0.466,2.16,11.9,0.467
2013-06-01,2,108,nonremoval,NA,NA,NA,0,,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,m,28,17,6,,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,38,18,6,,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,28,19,7,+,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,30,20,3,+,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,33,21,3,+,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,35,85,2,,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,30,86,2,,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,30,87,2,,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,f,30,88,2,,0.466,2.16,11.9,0.467
2013-06-16,3,108,nonremoval,m,25,89,2,,0.466,2.16,11.9,0.467
2013-06-29,4,108,nonremoval,f,28,19,7,+,0.466,2.16,11.9,0.467
2013-06-29,4,108,nonremoval,f,30,20,3,+,0.466,2.16,11.9,0.467
2013-06-29,4,108,nonremoval,f,30,21,3,+,0.466,2.16,11.9,0.467
2013-06-29,4,108,nonremoval,f,35,90,1,+,0.466,2.16,11.9,0.467
2013-06-29,4,108,nonremoval,f,30,91,1,+,0.466,2.16,11.9,0.467
2013-06-29,4,108,nonremoval,f,28,92,1,+,0.466,2.16,11.9,0.467
2013-05-25,1,119,removal,NA,NA,NA,0,,0.351,1.61,14.25833333,0.517
2013-06-08,2,119,removal,NA,NA,NA,0,,0.351,1.61,14.25833333,0.517
2013-06-22,3,119,removal,NA,NA,NA,0,,0.351,1.61,14.25833333,0.517
2013-07-06,4,119,removal,NA,NA,NA,0,,0.351,1.61,14.25833333,0.517
2013-06-01,2,E3,removal,f,28,22,5,+,0.436,1.83,7.803703704,0.508
2013-06-16,3,E3,removal,f,30,22,5,+,0.436,1.83,7.803703704,0.508
2013-06-16,3,E3,removal,m,25,23,3,+,0.436,1.83,7.803703704,0.508
2013-06-16,3,E3,removal,m,25,93,2,,0.436,1.83,7.803703704,0.508
2013-06-29,4,E3,removal,f,38,22,5,+,0.436,1.83,7.803703704,0.508
2013-06-29,4,E3,removal,m,30,23,3,+,0.436,1.83,7.803703704,0.508
2013-05-18,1,F4,removal,m,23,120,2,,0.493,2.06,5.957575758,0.419
2013-06-01,2,F4,removal,NA,NA,NA,0,,0.493,2.06,5.957575758,0.419
2013-06-16,3,F4,removal,m,20,121,2,,0.493,2.06,5.957575758,0.419
2013-06-29,4,F4,removal,m,21,122,1,+,0.493,2.06,5.957575758,0.419
2013-05-18,1,F5,removal,m,24,94,2,,0.356,1.7,7.266666667,0.392
2013-05-18,1,F5,removal,m,25,95,2,,0.356,1.7,7.266666667,0.392
2013-06-01,2,F5,removal,m,22,24,4,,0.356,1.7,7.266666667,0.392
2013-06-01,2,F5,removal,f,25,29,4,,0.356,1.7,7.266666667,0.392
2013-06-01,2,F5,removal,NA,NA,96,2,,0.356,1.7,7.266666667,0.392
2013-06-01,2,F5,removal,NA,20,97,2,,0.356,1.7,7.266666667,0.392
